HDO-kategori,Tema,Tekst,Løfte-ID,Partier,Hvem
Utdanning og forskning,Sidemål i skolen,Videreføre ordningen med egen sidemålskarakter.,59092 / 61458 / 57447 / 62309,SV / Sp / V / MDG,Amund
Utenriks og forsvar,Deltakelse i utenlandsoppdrag,Begrense norsk deltakelse i utenlandsoppdrag.,55907,FrP,Amund
Utenriks og forsvar,Deltakelse i utenlandsoppdrag,Delta i militære operasjoner kun ved FN-mandat.,61444 / 62406 / 59800,Sp / MDG / SV,Amund
Utenriks og forsvar,Deltakelse i utenlandsoppdrag,Øke norske bidrag til FN-operasjoner.,57317 / 55513,A / KrF,Amund
Utenriks og forsvar,Deltakelse i utenlandsoppdrag,Delta i militære operasjoner for å bekjempe internasjonal terrorisme.,59859,H,Amund
Utenriks og forsvar,Deltakelse i utenlandsoppdrag,Militære operasjoner uten FN-mandat kun mulig der det skjer utstrakt og uakseptabel voldsbruk mot sivile eller andre stater.,58688,V,Amund
Utdanning og forskning,Privatskoler,Nei til statsstøtte til kommersielle privatskoler.,56458,A,Amund
Utdanning og forskning,Privatskoler,Finansiere offentlige og private skoler likt.,56129,FrP,Amund
Utdanning og forskning,Privatskoler,Øke driftstilskuddet til friskoler.,54541,KrF,Amund
Utdanning og forskning,Privatskoler,Lage et regelverk som sikrer at eiere av friskoler ikke tar ut utbytte.,57476,V,Amund
Utdanning og forskning,Privatskoler,Organisere privatskoler som stiftelser for å hindre at eiere kan ta ut profitt.,59081 / 59104,SV,Amund
Utdanning og forskning,Privatskoler,Beholde muligheten til å drive offentlig finansierte friskoler.,60242,H,Amund
"Kultur, religion og frivillighet",NRK,"Fjerne NRK-lisensen, omgjøre NRK til aksjeselskap og selge statens aksjer.",56271 / 56275,FrP,Amund
"Kultur, religion og frivillighet",NRK,Vurdere å innføre en medieskatt som erstatning for NRK-lisensen og mediestøtte.,58497,V,Amund
"Kultur, religion og frivillighet",NRK,Innføre en allmennkringkastingsavgift som alternativ til NRK-lisensen.,61400,Sp,Amund
